page,clicks,impressions,ctr,position
https://somto.it/quiz/cars-motori-ruggenti-2006,0,2,0.00%,6.5
https://somto.it/quiz/demon-slayer-kimetsu-no-yaiba-2019,0,2,0.00%,71.5
https://somto.it/quiz/jurassic-park-1993,0,2,0.00%,90.5
https://somto.it/serie/1998-3,0,2,0.00%,38.0
https://somto.it/serie/2011-2,0,2,0.00%,40.5
https://somto.it/serie/2014-6,0,2,0.00%,73.0
https://somto.it/serie/2023-18,0,2,0.00%,10.5
https://somto.it/serie/2023-20,0,2,0.00%,6.0
https://somto.it/serie/56-giorni-2026,0,2,0.00%,93.0
https://somto.it/serie/aquarion-2005,0,2,0.00%,7.0
https://somto.it/serie/ballers-2015,0,2,0.00%,11.0
https://somto.it/serie/beacon-23-2023,0,2,0.00%,98.5
https://somto.it/serie/beelzebub-2011,0,2,0.00%,10.0
https://somto.it/serie/benvenuti-a-eden-2022,0,2,0.00%,94.5
https://somto.it/serie/better-call-saul-2015,0,2,0.00%,96.0
https://somto.it/serie/bodies-2023,0,2,0.00%,29.5
https://somto.it/serie/butterfly-2025,0,2,0.00%,71.5
https://somto.it/serie/che-dio-ci-aiuti-2011,0,2,0.00%,61.0
https://somto.it/serie/chiamatemi-anna-2017,0,2,0.00%,95.0
https://somto.it/serie/detective-conan-1996,0,2,0.00%,75.5
https://somto.it/serie/dirty-john-2018,0,2,0.00%,70.0
https://somto.it/serie/dottoressa-peluche-2012,0,2,0.00%,95.0
https://somto.it/serie/dune-prophecy-2024,0,2,0.00%,93.0
https://somto.it/serie/durarara-2010,0,2,0.00%,18.5
https://somto.it/serie/empire-2015,0,2,0.00%,77.0
https://somto.it/serie/en-el-barro-2025,0,2,0.00%,70.0
https://somto.it/serie/everything-now-2023,0,2,0.00%,91.5
https://somto.it/serie/gachiakuta-2025,0,2,0.00%,17.5
https://somto.it/serie/gomorra-la-serie-2014,0,2,0.00%,80.5
https://somto.it/serie/griselda-2024,0,2,0.00%,31.5
https://somto.it/serie/hack-2002,0,2,0.00%,53.0
https://somto.it/serie/hell-on-wheels-2011,0,2,0.00%,68.0
https://somto.it/serie/hostage-2025,0,2,0.00%,84.0
https://somto.it/serie/kakegurui-2025,0,2,0.00%,80.0
https://somto.it/serie/l-imperatrice-2022,0,2,0.00%,94.0
https://somto.it/serie/lucifer-2016,0,2,0.00%,86.5
https://somto.it/serie/mar-2005,0,2,0.00%,72.0
https://somto.it/serie/martin-1992,0,2,0.00%,84.0
https://somto.it/serie/maverick-1957,0,2,0.00%,38.5
https://somto.it/serie/mf-ghost-2023,0,2,0.00%,92.0
https://somto.it/serie/motorheads-2025,0,2,0.00%,52.5
https://somto.it/serie/mr-mercedes-2017,0,2,0.00%,92.5
https://somto.it/serie/off-campus-2026,0,2,0.00%,43.5
https://somto.it/serie/one-2025,0,2,0.00%,18.5
https://somto.it/serie/pluto-2023,0,2,0.00%,75.5
https://somto.it/serie/power-2014,0,2,0.00%,67.5
https://somto.it/serie/providence-1999,0,2,0.00%,54.0
https://somto.it/serie/rising-impact-2024,0,2,0.00%,91.0
https://somto.it/serie/robin-hood-2025,0,2,0.00%,91.0
https://somto.it/serie/shameless-2011,0,2,0.00%,78.0
https://somto.it/serie/shin-chan-1992,0,2,0.00%,88.5
https://somto.it/serie/spin-city-1996,0,2,0.00%,95.0
https://somto.it/serie/the-batman-2004,0,2,0.00%,89.0
https://somto.it/serie/the-equalizer-2021,0,2,0.00%,91.0
https://somto.it/serie/the-sinner-2017,0,2,0.00%,88.0
https://somto.it/serie/tiger-bunny-2011,0,2,0.00%,86.0
https://somto.it/serie/tmz-2007,0,2,0.00%,32.5
https://somto.it/serie/toriko-2011,0,2,0.00%,8.0
https://somto.it/serie/vecinos-2005,0,2,0.00%,40.5
https://somto.it/serie/vgly-2023,0,2,0.00%,29.0
https://somto.it/film/fatal-bond-1991,1,1,100.00%,69.0
https://somto.it/quiz/buffy-l-ammazzavampiri-1997,1,1,100.00%,10.0
https://somto.it/quiz/skam-italia-2018,1,1,100.00%,5.0
https://somto.it/quiz/un-medico-in-famiglia-1998,1,1,100.00%,7.0
https://somto.it/serie/tracker-2024,1,1,100.00%,1.0
https://somto.it/blog/cosa-guardare-su-netflix-italia/,0,1,0.00%,6.0
https://somto.it/blog/migliori-serie-tv-da-ridere-commedie/,0,1,0.00%,3.0
https://somto.it/blog/serie-tv-simili-a-severance-scissione/,0,1,0.00%,4.0
https://somto.it/film/1959,0,1,0.00%,3.0
https://somto.it/film/1976,0,1,0.00%,3.0
https://somto.it/film/1978-2025,0,1,0.00%,44.0
https://somto.it/film/1992,0,1,0.00%,9.0
https://somto.it/film/1999,0,1,0.00%,7.0
https://somto.it/film/2001-odissea-nello-spazio-1968,0,1,0.00%,5.0
https://somto.it/film/2004-2,0,1,0.00%,63.0
https://somto.it/film/2015-3,0,1,0.00%,32.0
https://somto.it/film/2020-2,0,1,0.00%,26.0
https://somto.it/film/2022,0,1,0.00%,6.0
https://somto.it/film/2025-27,0,1,0.00%,38.0
https://somto.it/film/2026-10,0,1,0.00%,26.0
https://somto.it/film/2026-9,0,1,0.00%,28.0
https://somto.it/film/3-2026,0,1,0.00%,72.0
https://somto.it/film/365-giorni-2020,0,1,0.00%,93.0
https://somto.it/film/53-domeniche-2026,0,1,0.00%,98.0
https://somto.it/film/95-2017,0,1,0.00%,37.0
https://somto.it/film/a-star-is-born-2018,0,1,0.00%,99.0
https://somto.it/film/a-toute-vitesse-1996,0,1,0.00%,76.0
https://somto.it/film/a-woman-scorned-2025,0,1,0.00%,72.0
https://somto.it/film/abbandonata-dal-destino-2003,0,1,0.00%,50.0
https://somto.it/film/abigail-2024,0,1,0.00%,23.0
https://somto.it/film/addio-mia-concubina-1993,0,1,0.00%,30.0
https://somto.it/film/against-the-ice-2022,0,1,0.00%,97.0
https://somto.it/film/agente-007-missione-goldfinger-1964,0,1,0.00%,65.0
https://somto.it/film/al-vertice-della-tensione-2002,0,1,0.00%,89.0
https://somto.it/film/aladdin-2019,0,1,0.00%,73.0
https://somto.it/film/alibi-2008,0,1,0.00%,52.0
https://somto.it/film/alice-attraverso-lo-specchio-2016,0,1,0.00%,87.0
https://somto.it/film/amici-amanti-e-2011,0,1,0.00%,65.0
https://somto.it/film/annie-la-felicita-e-contagiosa-2014,0,1,0.00%,77.0
https://somto.it/film/ant-man-2015,0,1,0.00%,66.0
